date,tea,time,type,location,activity,energy usage,weather
2/26,earl grey lavender,9:00 AM,black,"china, india, sri lanka",Work,1.48,35
2/26,peach ice tea,7:00 PM,black,sri lanka,Video games,3.78,39
2/27,sencha overture,12:00 PM,green,Shizuoka prefecture of Japan,lunch,2.17,48
2/28,Matcha ceremonial grade,12:00 PM,green,"china, japan",Lunch,1.93,48
2/28,Peppermint,3:20 PM,herbal,USA,exercise,0.73,43
2/28,summer rose,10:30 PM,black,"china, india, sri lanka",hw,2.65,36
3/1,earl grey lavender,8:45 AM,black,"china, india, sri lanka",Class,1.33,30
3/2,Genmai Chai,12:00 PM,green,,lunch,1.51,38
3/2,Creme Black,5:00 PM,black,"china, india, sri lanka",Snack,0.74,42
2/26,earl grey lavender,9:00 AM,black,"china, india, sri lanka",Work,1.48,35
2/26,peach ice tea,7:00 PM,black,sri lanka,Video games,3.78,39
2/27,sencha overture,12:00 PM,green,Shizuoka prefecture of Japan,lunch,2.17,48
2/28,jasmine phoenix pearls,12:00 PM,green,"Fu Ding, Fu Jian Province",Lunch,1.93,48
2/28,Fujian rain,3:20 PM,oolong,"Makinohara, Japan",exercise,0.73,43
2/28,40 winks,10:30 PM,herbal,"Sakaran Village, Egypt",movies,2.65,36
3/1,earl grey lavender,8:45 AM,black,"china, india, sri lanka",Class,1.33,30
3/1,Chamomile,9:00 PM,herbal,egypt,Sleep,0.73,36
3/2,Maple creme oolong,12:00 PM,black,"Makinohara, Japan",lunch,1.51,38
